sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation
14,N1_awgn20,bonafide,0.536598981141471,0.5364007139623977,1.0,0.7699865434471457,0.496475300192833,0.846315324306488,0.4534296691417694,0.9847717099400655
14,N2_awgn10,bonafide,0.5368092226549784,0.5444051513963498,1.0,0.7493851117307802,0.48550636470317843,0.8344906568527222,0.40031421184539795,0.9849819514535729
15,C0_clean,bonafide,0.5376716761437274,0.5402925445115343,1.0,0.8445054438023132,0.4274281352758408,1.0,0.49362945556640625,0.9880553571079711
15,C8_opus16,bonafide,0.543850189919875,0.5427233784987767,1.0,0.8469993783176952,0.4381659954786301,0.9087343811988831,0.617451548576355,0.9942338708841187
15,C9_opus6,bonafide,0.5536583965435808,0.5236895294955753,1.0,0.265136886041913,0.1661052004992962,0.16702595353126526,0.07650089263916016,0.5845874561255295
15,N1_awgn20,bonafide,0.5463922445019083,0.5448484929514238,1.0,0.7891210914578235,0.4619626015424728,0.8459204435348511,0.5057337880134583,0.996775925466152
15,N2_awgn10,bonafide,0.5541062979882411,0.5267984298874279,1.0,0.7612822649469144,0.49921335577964787,0.8279434442520142,0.43817293643951416,0.9955100210475152
16,C0_clean,bonafide,0.5414049593386752,0.5368865024008971,1.0,0.8585889395759307,0.4274281084537506,1.0,0.529465913772583,0.999163884813853
16,C8_opus16,bonafide,0.5393603077027282,0.5352278638392566,1.0,0.809523193587901,0.4381659954786301,0.9087343811988831,0.4896455705165863,0.9971192331779061
16,C9_opus6,bonafide,0.5614660956728049,0.5305567110337406,1.0,0.27463730407643117,0.15922560691833498,0.16469798982143402,0.08137980401515961,0.6144805564776988
16,N1_awgn20,bonafide,0.5397924103445644,0.5414428586188718,1.0,0.7991848689103667,0.48775435686111457,0.8529542684555054,0.5291258692741394,0.9975513358197422
16,N2_awgn10,bonafide,0.5397790973967945,0.5277319047539092,1.0,0.7909617700207714,0.45427449941635134,0.8335131406784058,0.5276503562927246,0.9975380228719724
17,C0_clean,bonafide,0.5458096865887339,0.5477642988791966,1.0,0.8373032171689591,0.4274281084537506,1.0,0.46658992767333984,0.9910874628898569
17,C8_opus16,bonafide,0.5397857356121659,0.53948280290384,1.0,0.8060499083966446,0.4381660223007202,0.9087343811988831,0.47807577252388,0.9971114138664249
17,C9_opus6,bonafide,0.5563647395336337,0.5271500445310049,1.0,0.27652212299610057,0.16929347023367883,0.18701398372650146,0.08479910194873809,0.5875893297362618
17,N1_awgn20,bonafide,0.5420839422541778,0.5377503222989474,1.0,0.7986315916286124,0.5016056418418884,0.8632671236991882,0.5162692666053772,0.994813207224413
17,N2_awgn10,bonafide,0.5388949927275553,0.5474758402347047,1.0,0.7986243203689691,0.4605769157409668,0.8506951928138733,0.5298186540603638,0.9980021567510355
18,C0_clean,bonafide,0.5457905543675003,0.5439583134698147,1.0,0.8294560029280931,0.4274281352758408,1.0,0.43934065103530884,0.9921793587250012
18,C8_opus16,bonafide,0.5449670399223437,0.5381134537597431,1.0,0.8207719211303532,0.4381660223007202,0.9087343811988831,0.531257688999176,0.9930028731701578
18,C9_opus6,bonafide,0.5462990238628973,0.5321030449767851,1.0,0.26179222679201697,0.16677168875932694,0.1625443696975708,0.0682786300778389,0.5876362996321232
18,N1_awgn20,bonafide,0.5460544648097941,0.543804145838083,1.0,0.7999447953029122,0.4865527868270874,0.8507370948791504,0.5402510762214661,0.9919154482827074
