sample_idx,condition,deletion_auc,insertion_auc,score,ecs,stability,spectral_alignment,faithfulness_preservation
9,N2_awgn10,0.5436385184526443,0.5399524062871933,0.5389423966407776,0.865120812257835,0.9331084489822388,0.6400306509624215,0.9995607912540435
10,N2_awgn10,0.544106537103653,0.5402168452739716,0.5393186807632446,0.8575508934446887,0.9155442714691162,0.6385502716530417,0.9992270112037659
11,N2_awgn10,0.5438820183277131,0.5396990776062012,0.5394862294197083,0.8576344973914933,0.9136646389961243,0.6406953080075026,0.9998668313026428
12,N2_awgn10,0.543173110485077,0.5393590688705444,0.5395464897155762,0.8547762017885023,0.9141638875007629,0.6307168303063099,0.9996519923210144
13,N2_awgn10,0.5430454671382905,0.5398965358734131,0.5395951867103577,0.8648875335570988,0.9339975118637085,0.638432394702175,0.9991960346698762
14,N2_awgn10,0.5434881657361984,0.5389441639184951,0.5377911925315857,0.8613854896342077,0.9247495532035828,0.6383796053844422,0.9999059557914735
15,N2_awgn10,0.543137288093567,0.5400715291500091,0.5392064452171326,0.8527533928920097,0.9072447419166565,0.6329723233545044,0.9998793303966522
16,N2_awgn10,0.5433412969112397,0.5397092044353485,0.5373102426528931,0.8639398095446627,0.9256241321563721,0.6460779519338739,0.999555903673172
17,N2_awgn10,0.5435573816299438,0.5401464819908142,0.5376162528991699,0.8537829212677118,0.9086564779281616,0.6344239110190462,0.9999771893024445
18,N2_awgn10,0.5437578022480011,0.540507161617279,0.5395534634590149,0.8601809508035163,0.9294829368591309,0.6281146189999511,0.9998446345329285
19,N2_awgn10,0.5429986745119095,0.5392546564340591,0.5376833081245422,0.8617710573661189,0.9242594242095947,0.6410086655576566,0.9992156267166138
